id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/9/value,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,teamName,Position
2778710877,275,5,1,34,44,7xo09xnh3y03lyai6azr77fo0,1,-0.8,68.2,5529098395,233,224,5529098123,346,,5529098121,56,Back,,,,,,,,,,,,,,,,dq03xoo08fyces9h371x0ce1g,Macarton Nickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778710921,276,1,1,34,59,7xo09xnh3y03lyai6azr77fo0,0,4.4,53.1,5529098369,74,,5529098365,213,6.13,5529098357,56,Center,5529098361,141,38.8,5529098359,140,64.3,5529098363,212,63.6,5529098367,1,,5529098355,124,,f1tuc3g6x0bvykbf3l6kckhnu,Gurmeet Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,Goalkeeper
2778710927,225,8,1,35,2,12ksg0e6d70senzilsic40fzl,1,32.6,60.6,5529098393,56,Back,,,,,,,,,,,,,,,,,,,,,,183r263z06eesonzbta557ys5,Rahul Bheke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778710945,277,1,1,35,5,7xo09xnh3y03lyai6azr77fo0,1,67.3,16.8,5529098503,212,9.3,5529098499,140,65,5529098501,141,30,5529098505,213,1.83,5529098497,56,Center,,,,,,,,,,5g8572gxi73ztuk13kttx9b84,Thoi Singh Huidrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778710955,278,1,1,35,8,7xo09xnh3y03lyai6azr77fo0,0,65.9,40.9,5529098557,140,63.9,5529098565,1,,5529098553,196,,5529098555,56,Left,5529098559,141,100,5529098563,213,1.62,5529098561,212,41.2,,,,7hdjglam5w0880u4mqxs4onsa,Konsam Phalguni Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778711047,226,5,1,35,11,12ksg0e6d70senzilsic40fzl,1,34,-1.2,5529099057,233,279,5529099055,347,,5529099053,56,Back,,,,,,,,,,,,,,,,cufgsqfkltgeb7ak2uan2dqdx,Ryan Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778710959,279,5,1,35,11,7xo09xnh3y03lyai6azr77fo0,0,66,101.2,5529098589,347,,5529099063,233,226,5529098587,56,Left,,,,,,,,,,,,,,,,7hdjglam5w0880u4mqxs4onsa,Konsam Phalguni Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778711059,227,1,1,35,33,12ksg0e6d70senzilsic40fzl,1,31.4,0,5529099115,140,42.4,5529099121,213,0.31,5529099119,212,12.1,5529099117,141,4.4,5529099111,107,,5529099113,56,Back,,,,,,,3sy4rxdzl4u9e5kkvygxu9x7u,Roshan Singh Naorem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778711071,228,1,1,35,35,12ksg0e6d70senzilsic40fzl,1,42.9,7.3,5529099197,213,3.26,5529099189,56,Back,5529099195,212,10.7,5529099191,140,32.8,5529099193,141,5.5,,,,,,,,,,7wpltjujzubkwy1k57jzcwafp,Édgar Méndez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778711083,229,1,1,35,39,12ksg0e6d70senzilsic40fzl,0,32.8,5.5,5529099259,140,90.7,5529099263,212,61.5,5529099261,141,18.9,5529099255,157,,5529099267,1,,5529099257,56,Right,5529099265,213,0.15,,,,3sy4rxdzl4u9e5kkvygxu9x7u,Roshan Singh Naorem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778711087,280,1,1,35,42,7xo09xnh3y03lyai6azr77fo0,1,9.2,82.9,5529099285,56,Back,5529099289,141,52.8,5529099293,213,4.58,5529099291,212,20.6,5529099287,140,6.7,,,,,,,,,,dq2edinn9zcsx9ztdmkw33l61,Asheer Akhtar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778711089,281,49,1,35,44,7xo09xnh3y03lyai6azr77fo0,1,6.7,51.6,,,,,,,,,,,,,,,,,,,,,,,,,f1tuc3g6x0bvykbf3l6kckhnu,Gurmeet Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,Goalkeeper
2778711097,230,45,1,35,45,12ksg0e6d70senzilsic40fzl,0,87.6,44.5,5529099433,233,282,5529099337,286,,5529099335,56,Center,,,,,,,,,,,,,,,,cufgsqfkltgeb7ak2uan2dqdx,Ryan Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778711109,282,3,1,35,45,7xo09xnh3y03lyai6azr77fo0,1,12.4,55.5,5529099409,56,Back,5529099415,285,,5529099429,233,230,,,,,,,,,,,,,,,,f1tuc3g6x0bvykbf3l6kckhnu,Gurmeet Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,Goalkeeper
2778711123,283,1,1,35,49,7xo09xnh3y03lyai6azr77fo0,1,17.4,55.8,5529099483,155,,5529099487,140,43.8,5529099491,212,37.3,5529099493,213,0.73,5529099489,141,92.6,5529099495,1,,5529099485,56,Back,,,,f1tuc3g6x0bvykbf3l6kckhnu,Gurmeet Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,Goalkeeper
2778711131,284,1,1,35,53,7xo09xnh3y03lyai6azr77fo0,1,55.5,94.7,5529099539,141,70.5,5529099541,212,17.7,5529099535,56,Center,5529099543,213,5.09,5529099537,140,61.8,,,,,,,,,,31a4sn8saxhfnh57j7c1yy2ac,Buanthanglun Samte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778711151,285,1,1,35,55,7xo09xnh3y03lyai6azr77fo0,1,61.2,70.5,5529099655,212,16.3,5529099657,213,3.56,5529099653,141,60.8,5529099649,56,Back,5529099651,140,47,,,,,,,,,,xm1pai2cllklkwkgpb7n5mmt,Néstor Albiach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778711175,286,1,1,36,0,7xo09xnh3y03lyai6azr77fo0,1,54.1,41.8,5529099803,213,5.34,5529099801,212,32.9,5529099797,140,72.5,5529099799,141,2.6,5529099795,56,Right,5529099805,1,,,,,,,,6vak9npg73k6di2oagxg8ttgq,Muthu Mayakkannan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
