id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/13/value,assist,teamName,Position
2778536803,148,49,1,17,16,335mseh7gazfrf4eu6w9htw6i,1,35.1,9.2,,,,,,,,,,,,,,,,,,,,,,,,,e6r1r5ggsgbdnudnn5muc4mw9,Alexis Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536805,149,1,1,17,17,335mseh7gazfrf4eu6w9htw6i,1,39.7,28.9,5528093591,140,36.6,5528093589,56,Back,5528093593,141,44,5528093595,212,10.8,5528093597,213,1.88,,,,,,,,,,e6r1r5ggsgbdnudnn5muc4mw9,Alexis Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536797,146,43,1,17,17,335mseh7gazfrf4eu6w9htw6i,1,0,0,5528093647,144,3,5528093551,56,Back,5528093553,285,0,,,,,,,,,,,,,,,,evsrix4aokl5o7dlx9zc41h49,França,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778537295,198,1,1,17,18,335mseh7gazfrf4eu6w9htw6i,1,38.6,28.3,5528096767,140,38.8,5528096769,141,53.6,5528096765,56,Back,5528096773,213,1.56,5528096771,212,17.2,,,,,,,,,,akimhgnr5qxmokkeq1c3k8p2h,Mohammed Irshad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536809,150,1,1,17,22,335mseh7gazfrf4eu6w9htw6i,0,34.9,61.8,5528093619,141,87.2,5528093617,140,47.4,5528093623,213,0.92,5528093621,212,21.7,5528093615,56,Back,,,,,,,,,,111rps7bzz2212jh5g8io7xn8,Lalrinfela Khiangte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536807,160,1,1,17,23,ajwqetklk0m22x7ifsjax5yi,1,56.4,11.3,5528093603,56,Right,5528093605,140,64,5528093611,213,6.27,5528093609,212,8,5528093607,141,11.1,,,,,,,,,,7ci9hj1m4rzmmu0cvyk2iy0ru,Shubham Sarangi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC, 
2778536811,161,49,1,17,24,ajwqetklk0m22x7ifsjax5yi,1,66.6,11.3,,,,,,,,,,,,,,,,,,,,,,,,,31g5m4lerjmoykobyt8cckxxx,Imran Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC, 
2778536817,162,3,1,17,29,ajwqetklk0m22x7ifsjax5yi,0,86,12.9,5528093669,56,Right,5528093671,286,,5528093673,211,,,,,,,,,,,,,,,,,31g5m4lerjmoykobyt8cckxxx,Imran Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC, 
2778536821,151,49,1,17,31,335mseh7gazfrf4eu6w9htw6i,1,24.5,79.7,,,,,,,,,,,,,,,,,,,,,,,,,b521uf2wepooe470000o6pvmy,Lalremsanga Fanai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536829,152,1,1,17,37,335mseh7gazfrf4eu6w9htw6i,1,33.8,56.6,5528093751,213,3.94,5528093745,140,21.8,5528093743,56,Back,5528093747,141,37.6,5528093749,212,18,,,,,,,,,,b521uf2wepooe470000o6pvmy,Lalremsanga Fanai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536841,153,1,1,17,39,335mseh7gazfrf4eu6w9htw6i,1,22.7,34.8,5528093797,56,Back,5528093799,140,26,5528093801,141,8.5,5528093803,212,18.2,5528093805,213,4.9,,,,,,,,,,f3gutlzxtzt5bxtrjdgb0inai,Joe Zoherliana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536843,154,1,1,17,46,335mseh7gazfrf4eu6w9htw6i,0,37.5,4,5528093815,212,20.1,5528093811,140,56.6,5528093813,141,6.1,5528093817,213,0.07,5528093809,56,Right,,,,,,,,,,51kwsfsllwjzbvbuibze1ilg4,Vanlalzuidika Chhakchhuak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536845,163,8,1,17,48,ajwqetklk0m22x7ifsjax5yi,1,34,95,5528093819,56,Back,,,,,,,,,,,,,,,,,,,,,,a1rjrfrukdqfztu8c9l88wduc,Muhammed Uvais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC, 
