id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,assist,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,teamName,Position
2777233033,171,1,1,20,36,335mseh7gazfrf4eu6w9htw6i,1,16.7,19.1,5520860925,213,2.46,5520860919,140,3.5,5520860921,141,35.6,5520860917,56,Back,5520860923,212,17.8,,,,,,,,,,5rd9832gct7uy0acodmor8b11,Florent Ogier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777233141,172,1,1,20,41,335mseh7gazfrf4eu6w9htw6i,1,4.3,40.3,5520861443,56,Back,5520861449,212,28.4,5520861447,141,75,5520861451,213,0.98,5520861445,140,19.4,,,,,,,,,,36coytybrizxbjsnpc0y4ojro,Padam Chettri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC,Goalkeeper
2777233287,173,1,1,20,44,335mseh7gazfrf4eu6w9htw6i,1,22.7,72,5520862181,212,15.4,5520862179,141,51.2,5520862177,140,28.5,5520862183,213,5.12,5520862175,56,Back,,,,,,,,,,51kwsfsllwjzbvbuibze1ilg4,Vanlalzuidika Chhakchhuak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777233359,174,1,1,20,49,335mseh7gazfrf4eu6w9htw6i,1,35.9,46.9,5520862555,56,Back,5520862557,140,40.7,5520862559,141,63.6,5520862563,213,1.15,5520862561,212,12.4,,,,,,,,,,111rps7bzz2212jh5g8io7xn8,Lalrinfela Khiangte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777233507,175,1,1,20,52,335mseh7gazfrf4eu6w9htw6i,1,40.2,68.4,5520863353,140,46.2,5520863357,212,20.3,5520863351,56,Back,5520863359,213,1.26,5520863355,141,96.8,,,,,,,,,,e6r1r5ggsgbdnudnn5muc4mw9,Alexis Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777233547,176,1,1,20,58,335mseh7gazfrf4eu6w9htw6i,1,46.8,94.8,5520863595,213,4.25,5520863589,140,40.1,5520863587,56,Back,5520863591,141,74,5520863593,212,15.8,,,,,,,,,,b521uf2wepooe470000o6pvmy,Lalremsanga Fanai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777233611,177,1,1,21,0,335mseh7gazfrf4eu6w9htw6i,0,41.3,71.7,5520863935,1,,5520863931,212,45.7,5520863925,56,Left,5520863929,141,87.3,5520863927,140,83.6,5520863923,155,,5520863933,213,0.23,,,,e6r1r5ggsgbdnudnn5muc4mw9,Alexis Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777233659,171,12,1,21,4,28au628w8n2jhgujuwh3y5d8k,1,17.9,10.6,5520864251,167,,5520864175,213,5.01,5520864171,141,0,5520864169,140,20.4,5520864167,56,Back,5520864173,212,8.9,,,,,,,2hi6y8so55eic1ukr0jy88a1h,Héctor Yuste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC, 
2777233675,172,5,1,21,4,28au628w8n2jhgujuwh3y5d8k,0,21.4,-1.4,5520864949,233,178,5520864235,56,Back,5520864237,347,,,,,,,,,,,,,,,,,2hi6y8so55eic1ukr0jy88a1h,Héctor Yuste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC, 
2777233771,178,5,1,21,4,335mseh7gazfrf4eu6w9htw6i,1,78.6,101.4,5520864925,233,172,5520864723,347,,5520864721,56,Left,,,,,,,,,,,,,,,,e6r1r5ggsgbdnudnn5muc4mw9,Alexis Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777233853,179,1,1,21,11,335mseh7gazfrf4eu6w9htw6i,1,76.7,100,5520865229,56,Left,5520865233,141,88.1,5520865227,107,,5520865239,213,3.89,5520865231,140,67.9,5520865235,212,12.6,,,,,,,b521uf2wepooe470000o6pvmy,Lalremsanga Fanai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777233935,180,1,1,21,13,335mseh7gazfrf4eu6w9htw6i,1,71.5,78.9,5520865691,213,3.75,5520865687,141,65.9,5520865689,212,15.5,5520865685,140,59.4,5520865683,56,Center,,,,,,,,,,e6r1r5ggsgbdnudnn5muc4mw9,Alexis Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777234003,181,1,1,21,16,335mseh7gazfrf4eu6w9htw6i,0,59,65.1,5520866093,213,5.79,5520866083,155,,5520866089,141,38.2,5520866087,140,91.5,5520866091,212,38.7,5520866085,56,Center,5520866095,1,,,,,111rps7bzz2212jh5g8io7xn8,Lalrinfela Khiangte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777234079,174,44,1,21,20,28au628w8n2jhgujuwh3y5d8k,1,9,61.8,5520866517,56,Back,5520866519,285,,5520866573,233,182,,,,,,,,,,,,,,,,5brj4wwxu99bicq7xhzs6zvmx,Nishu Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC, 
2777234007,182,44,1,21,20,335mseh7gazfrf4eu6w9htw6i,0,90.4,38.1,5520866141,56,Center,5520866597,233,174,5520866143,286,,,,,,,,,,,,,,,,,f3gutlzxtzt5bxtrjdgb0inai,Joe Zoherliana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777234063,173,43,1,21,21,28au628w8n2jhgujuwh3y5d8k,1,0,0,5520866429,285,0,5520868001,144,3,5520866427,56,Back,,,,,,,,,,,,,,,,5brj4wwxu99bicq7xhzs6zvmx,Nishu Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC, 
2777234127,175,1,1,21,23,28au628w8n2jhgujuwh3y5d8k,1,10.7,62,5520866785,212,18.5,5520866787,213,0.75,5520866777,56,Back,5520866779,140,23.6,5520866775,3,,5520866783,141,80.6,,,,,,,5brj4wwxu99bicq7xhzs6zvmx,Nishu Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC, 
