id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,teamName,Position
2779157111,479,11,2,65,52,28au628w8n2jhgujuwh3y5d8k,1,3,41.5,5531528027,88,,5531528025,56,Back,,,,,,,,,,,,,,,,,,,d18hxamo4wksojpx0f2zjy63u,Prabhsukhan Gill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,Goalkeeper
2779157263,480,1,2,66,12,28au628w8n2jhgujuwh3y5d8k,1,16,40.7,5531529031,140,62.6,5531529033,141,30,5531529039,1,,5531529037,213,6.14,5531529027,199,,5531529029,56,Center,5531529035,212,49.5,,,,d18hxamo4wksojpx0f2zjy63u,Prabhsukhan Gill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,Goalkeeper
2779157281,481,44,2,66,14,28au628w8n2jhgujuwh3y5d8k,1,65.2,31,5531529135,286,,5531529133,56,Center,5531529157,233,589,,,,,,,,,,,,,,,,8bz6754ot1g7gd2k90qfqnuy2,Raphael Messi Bouli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2779157275,589,44,2,66,14,8uacz8yrceknwsreon4rb5i8o,0,35.7,69,5531529093,285,,5531529173,233,481,5531529091,56,Back,,,,,,,,,,,,,,,,ciydd242v6efvzsqd2hxqvwus,Pramveer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779157299,482,1,2,66,16,28au628w8n2jhgujuwh3y5d8k,1,62.5,30.9,5531529247,141,36.7,5531529249,212,7.5,5531529245,140,56.4,5531529251,213,2.59,5531529241,3,,5531529243,56,Center,,,,,,,8bz6754ot1g7gd2k90qfqnuy2,Raphael Messi Bouli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2779157313,483,1,2,66,18,28au628w8n2jhgujuwh3y5d8k,1,58.6,35.5,5531529359,56,Center,5531529367,213,3.05,5531529365,212,7,5531529363,141,36.4,5531529361,140,52,,,,,,,,,,5yau328orkeysj2rs0wyms73d,Saúl Crespo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2779157329,484,1,2,66,19,28au628w8n2jhgujuwh3y5d8k,1,52,36.4,5531529433,140,58.6,5531529437,212,8.1,5531529439,213,5.74,5531529431,56,Center,5531529435,141,30.3,,,,,,,,,,37a8scojsvio37fatx5zxih91,Souvik Chakrabarti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2779157379,485,1,2,66,20,28au628w8n2jhgujuwh3y5d8k,1,58.6,30.3,5531529663,212,21.2,5531529661,141,7.9,5531529665,213,3.94,5531529659,140,44.6,5531529657,56,Back,,,,,,,,,,5yau328orkeysj2rs0wyms73d,Saúl Crespo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2779157405,486,1,2,66,24,28au628w8n2jhgujuwh3y5d8k,1,46.6,7.7,5531529769,56,Center,5531529775,141,33,5531529779,213,1.16,5531529777,212,18.8,5531529773,140,53.8,,,,,,,,,,369ef7pxl6ckbg088w9zi36ne,Mohammad Rakip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2779157449,487,1,2,66,25,28au628w8n2jhgujuwh3y5d8k,0,53.8,33,5531529985,56,Left,5531529987,140,79.3,5531529995,1,,5531529989,141,100,5531529993,213,1.05,5531529983,196,,5531529981,155,,5531529991,212,53.8,37a8scojsvio37fatx5zxih91,Souvik Chakrabarti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2779157453,488,5,2,66,28,28au628w8n2jhgujuwh3y5d8k,0,78,101.8,5531530637,233,590,5531530025,347,,5531530023,56,Left,,,,,,,,,,,,,,,,37a8scojsvio37fatx5zxih91,Souvik Chakrabarti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2779157561,590,5,2,66,28,8uacz8yrceknwsreon4rb5i8o,1,22,-1.8,5531530581,56,Back,5531530629,233,488,5531530583,347,,,,,,,,,,,,,,,,,1csytueiqmph9zm2p58ww333e,Ricky Shabong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779157593,591,1,2,66,40,8uacz8yrceknwsreon4rb5i8o,1,21.6,0,5531530781,213,0.41,5531530793,189,,5531530763,56,Back,5531530771,141,6.1,5531530767,140,33.2,5531530759,107,,5531530777,212,13.3,,,,1i4qgopfzsr2xyfs93kjtcvai,Khaiminthang Lhungdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779157663,592,1,2,66,47,8uacz8yrceknwsreon4rb5i8o,1,22,10.3,5531531127,56,Right,5531531129,140,58.3,5531531135,213,6.27,5531531125,157,,5531531137,1,,5531531131,141,9.4,5531531133,212,38.1,,,,11xl1jtpjn674dw6yxfv33pey,Suresh Meitei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779157681,593,1,2,66,51,8uacz8yrceknwsreon4rb5i8o,1,56.7,6.2,5531531255,213,2.39,5531531251,141,23.6,5531531249,140,44.6,5531531247,56,Back,5531531253,212,17.4,,,,,,,,,,2n6c8ciuley3hz0fnt6gn4zpx,Luka Majcen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779157753,594,1,2,66,53,8uacz8yrceknwsreon4rb5i8o,1,48,22.2,5531531745,1,,5531531739,141,90.8,5531531737,140,66.8,5531531735,56,Left,5531531733,196,,5531531741,212,50.7,5531531743,213,1.17,5531531731,155,,bwiqj25qbrcc2xhc8faqb44wl,Ezequiel Vidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779157767,595,1,2,67,0,8uacz8yrceknwsreon4rb5i8o,1,66.6,91.4,5531531833,56,Left,5531531841,213,3.85,5531531837,141,80.9,5531531839,212,10.9,5531531835,140,58.7,,,,,,,,,,d0b9bmoy2tfpyra3bra95rdhw,Likmabam Rakesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779157781,596,1,2,67,3,8uacz8yrceknwsreon4rb5i8o,0,59.2,81.5,5531531911,56,Center,5531531913,140,84.1,5531531909,155,,5531531915,141,38.3,5531531919,213,5.44,5531531917,212,39.3,5531531921,1,,,,,ciydd242v6efvzsqd2hxqvwus,Pramveer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779157839,489,12,2,67,5,28au628w8n2jhgujuwh3y5d8k,1,14.9,62,5531532251,56,Back,5531532265,212,24,5531532255,140,33,5531532259,141,83.6,5531532271,213,0.66,,,,,,,,,,6bgcubncyevstsj12znvexbhm,Anwar Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2779157815,597,61,2,67,8,8uacz8yrceknwsreon4rb5i8o,0,71.5,19.4,5531532163,56,Right,,,,,,,,,,,,,,,,,,,,,,1i4qgopfzsr2xyfs93kjtcvai,Khaiminthang Lhungdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779157847,490,49,2,67,10,28au628w8n2jhgujuwh3y5d8k,1,26.4,71.4,,,,,,,,,,,,,,,,,,,,,,,,,5yau328orkeysj2rs0wyms73d,Saúl Crespo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2779157881,491,1,2,67,11,28au628w8n2jhgujuwh3y5d8k,1,26.4,71.4,5531532471,213,0.66,5531532463,56,Back,5531532469,212,26.7,5531532467,141,95.4,5531532465,140,46.5,,,,,,,,,,5yau328orkeysj2rs0wyms73d,Saúl Crespo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
