id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,teamName,Position
2781504149,687,61,2,87,38,8uacz8yrceknwsreon4rb5i8o,0,65.4,1.4,5544318591,56,Right,,,,,,,,,,,,,,,,,,,,,,8d6mz56ogl5wo02hgq3qp3ip6,Ninthoi Meetei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2781504167,688,1,2,87,39,8uacz8yrceknwsreon4rb5i8o,1,64.4,4.7,5544318679,56,Right,5544318687,213,2.48,5544318683,141,8.8,5544318685,212,4.5,5544318681,140,61,,,,,,,,,,8d6mz56ogl5wo02hgq3qp3ip6,Ninthoi Meetei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2781504177,689,1,2,87,39,8uacz8yrceknwsreon4rb5i8o,0,59.6,10.1,5544318715,140,68.8,5544318719,212,11.3,5544318721,213,5.74,5544318713,56,Right,5544318717,141,1.6,,,,,,,,,,99p8q4t09iq7scfgt0bkrmlpm,Ashish Pradhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2781504153,921,61,2,87,39,9eqjks8amwm1ycytsoi7xld25,1,29.5,88.1,5544318611,56,Back,,,,,,,,,,,,,,,,,,,,,,cpodiheplpmn42lw8l2fdrjtg,Jay Gupta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2781504179,690,1,2,87,45,8uacz8yrceknwsreon4rb5i8o,1,69.7,2.2,5544319021,210,13,5544318755,140,69.1,5544318761,213,1.62,5544318753,56,Center,5544318757,141,21.6,5544318759,212,13.2,,,,,,,8d6mz56ogl5wo02hgq3qp3ip6,Ninthoi Meetei,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2781504181,691,13,2,87,48,8uacz8yrceknwsreon4rb5i8o,1,73.4,38.5,5544319039,77,,5544318769,56,Center,5544319055,231,48.6,5544318765,22,,5544319053,230,98.8,5544319043,55,690,5544319049,103,61.1,5544318767,18,,2hsgcgekgsls87pbwwz9a3q39,Petros Giakoumakis,,5544319051,215,,5544319041,29,,5544319047,102,56,5544318909,72,,,,,,,,,,,,,,,,,,Punjab FC,
2781504203,692,5,2,87,49,8uacz8yrceknwsreon4rb5i8o,0,101.2,55.4,5544318895,346,,5544318893,56,Center,5544319509,233,922,,,,,,,,,,,,,,,,2hsgcgekgsls87pbwwz9a3q39,Petros Giakoumakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2781504289,922,5,2,87,49,9eqjks8amwm1ycytsoi7xld25,1,-1.2,44.6,5544319461,346,,5544319483,233,692,5544319459,56,Back,,,,,,,,,,,,,,,,cpodiheplpmn42lw8l2fdrjtg,Jay Gupta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2781504493,930,17,2,88,10,9eqjks8amwm1ycytsoi7xld25,1,0,0,5544321905,189,,5544320641,393,,5544320639,31,,5544320643,13,243,,,,,,,,,,,,,j8o05z2drw3xbcgcwk7g04wl,Sahil Tavora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2781506229,749,27,2,88,25,8uacz8yrceknwsreon4rb5i8o,1,0,0,5544331301,233,923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
