id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/17/value,teamName,Position
2793675795,16,5,1,0,48,7xo09xnh3y03lyai6azr77fo0,0,31.6,-1.4,2025-03-30T14:01:17.755Z,2025-03-30T14:56:16Z,5610902501,56,Back,5610902971,233,16,5610902503,347,,,,,,,,,,,,,,,,,dq03xoo08fyces9h371x0ce1g,Macarton Nickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2793675869,16,5,1,0,48,ajwqetklk0m22x7ifsjax5yi,1,68.4,101.4,2025-03-30T14:01:17.755Z,2025-03-30T14:01:24Z,5610902897,347,,5610902895,56,Left,5610902949,233,16,,,,,,,,,,,,,,,,e2kge0d4o0jg6ndxsq0tm0x9m,Jordan Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2793676091,17,1,1,1,4,ajwqetklk0m22x7ifsjax5yi,1,66.6,100,2025-03-30T14:01:33.803Z,2025-03-30T14:01:37Z,5610904091,107,,5610904099,212,6.7,5610904097,141,93.3,5610904095,140,62.5,5610904101,213,4.01,5610904093,56,Left,,,,,,,a1rjrfrukdqfztu8c9l88wduc,Muhammed Uvais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2793676173,18,1,1,1,8,ajwqetklk0m22x7ifsjax5yi,1,65.3,94.7,2025-03-30T14:01:37.145Z,2025-03-30T14:01:42Z,5610904553,213,5.23,5610904541,155,,5610904549,141,23.9,5610904545,56,Center,5610904547,140,91.5,5610904555,1,,5610904551,212,55.4,5610904543,196,,2z2u1jd91uyccw2pn5qoiti0a,Mobashir Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2793676217,19,1,1,1,12,ajwqetklk0m22x7ifsjax5yi,1,89.5,15.9,2025-03-30T14:01:41.865Z,2025-03-30T14:01:44Z,5610904725,140,78.9,5610904723,56,Right,5610904727,141,14.7,5610904729,212,11.2,5610904731,213,3.21,,,,,,,,,,1ilh1vogo8mggj0vhf2oknswk,Nikhil Barla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2793676229,20,1,1,1,15,ajwqetklk0m22x7ifsjax5yi,0,79.2,14.1,2025-03-30T14:01:44.457Z,2025-03-30T14:01:45Z,5610904791,140,86.9,5610904789,56,Center,5610904795,212,23.6,5610904785,2,,5610904797,213,1.22,5610904787,155,,5610904793,141,46.7,,,,iydj3zcyzjgguy8iwmitdp05,Ashutosh Mehta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2793676271,17,12,1,1,16,7xo09xnh3y03lyai6azr77fo0,1,13,49.6,2025-03-30T14:01:45.785Z,2025-03-30T14:01:49Z,5610905041,140,24.9,5610905045,212,14.6,5610905043,141,60.6,5610905039,56,Back,5610905047,213,0.54,,,,,,,,,,cmipqs8kvp9fztc1ekgzlwogl,Mohammed Bemammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2793676253,21,61,1,1,18,ajwqetklk0m22x7ifsjax5yi,1,79.6,35.4,2025-03-30T14:01:47.308Z,2025-03-30T14:01:47Z,5610904923,56,Center,,,,,,,,,,,,,,,,,,,,,,3i9ye7yfz4j9bhbi8gco7mjca,Rei Tachikawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2793676305,22,50,1,1,20,ajwqetklk0m22x7ifsjax5yi,1,80.9,37.6,2025-03-30T14:01:49.126Z,2025-03-30T14:56:10Z,5610905341,233,18,5610905235,56,Center,5610905237,286,,,,,,,,,,,,,,,,,e2kge0d4o0jg6ndxsq0tm0x9m,Jordan Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2793676295,18,7,1,1,20,7xo09xnh3y03lyai6azr77fo0,0,19.1,62.4,2025-03-30T14:01:49.127Z,2025-03-30T14:56:09Z,5610905187,56,Back,5610905189,285,,5610905279,233,22,,,,,,,,,,,,,,,,cmipqs8kvp9fztc1ekgzlwogl,Mohammed Bemammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2793676369,23,1,1,1,24,ajwqetklk0m22x7ifsjax5yi,0,79.4,26.2,2025-03-30T14:01:53.289Z,2025-03-30T14:01:54Z,5610905601,155,,5610905623,213,0.97,5610905607,56,Center,5610905615,141,64.2,5610905611,140,96.4,5610905619,212,31.4,,,,,,,1ilh1vogo8mggj0vhf2oknswk,Nikhil Barla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2793676373,19,52,1,1,25,7xo09xnh3y03lyai6azr77fo0,1,1.9,33,2025-03-30T14:01:54.584Z,2025-03-30T14:01:54Z,,,,,,,,,,,,,,,,,,,,,,,,,f1tuc3g6x0bvykbf3l6kckhnu,Gurmeet Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,Goalkeeper
2793676537,20,1,1,1,31,7xo09xnh3y03lyai6azr77fo0,1,14.9,50.6,2025-03-30T14:02:00.359Z,2025-03-30T14:02:03Z,5610906483,212,21.3,5610906507,287,,5610906477,56,Back,5610906485,213,0.82,5610906475,123,,5610906481,141,73.5,5610906479,140,28.8,,,,f1tuc3g6x0bvykbf3l6kckhnu,Gurmeet Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,Goalkeeper
2793676745,21,1,1,1,37,7xo09xnh3y03lyai6azr77fo0,1,30.4,73.3,2025-03-30T14:02:06.503Z,2025-03-30T14:02:15Z,5610907577,56,Right,5610907597,1,,5610907575,157,,5610907585,212,82.3,5610907581,141,4.6,5610907591,213,5.68,5610907579,140,94.9,,,,awmnvgz0piarvn8o7b7zk57f9,Míchel Zabaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2793676777,22,1,1,1,46,7xo09xnh3y03lyai6azr77fo0,1,87.7,6.2,2025-03-30T14:02:15.208Z,2025-03-30T14:02:16Z,5610907741,213,2.85,5610907737,141,8.8,5610907733,56,Right,5610907735,140,82.1,5610907739,212,6.1,,,,,,,,,,d2ouk806csxbamwjbwlxwi92i,Jithin M S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2793676863,23,1,1,1,47,7xo09xnh3y03lyai6azr77fo0,1,81.3,8.8,2025-03-30T14:02:16.327Z,2025-03-30T14:02:22Z,5610908167,2,,5610908169,155,,5610908181,1,,5610908171,56,Center,5610908179,213,1.42,5610908175,141,57,5610908177,212,33.1,5610908173,140,85.9,xm1pai2cllklkwkgpb7n5mmt,Néstor Albiach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2793676909,25,61,1,1,50,7xo09xnh3y03lyai6azr77fo0,0,87.3,47.2,2025-03-30T14:02:19.751Z,2025-03-30T14:27:16Z,5610908421,56,Center,,,,,,,,,,,,,,,,,,,,,,dq03xoo08fyces9h371x0ce1g,Macarton Nickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2793676847,24,49,1,1,51,ajwqetklk0m22x7ifsjax5yi,1,11.7,63.6,2025-03-30T14:02:20.873Z,2025-03-30T14:02:21Z,,,,,,,,,,,,,,,,,,,,,,,,,9vjotu14gqx0jhgrs12qwkezt,Stephen Eze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
