id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/15/value,assist,teamName,Position
2779316439,473,1,2,57,10,5yvw8xpbzap5lhlze04odtgk4,1,34.4,41,5532373779,56,Center,5532373791,213,5.95,5532373781,140,57.2,5532373783,141,28.9,5532373787,212,25.3,,,,,,,,,,bcjkyeu4gtghgy9khmmob9g45,Dusan Lagator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2779316547,474,1,2,57,13,5yvw8xpbzap5lhlze04odtgk4,1,56.8,29.2,5532374343,212,29.8,5532374341,141,15,5532374345,213,5.95,5532374339,140,83.7,5532374337,56,Right,,,,,,,,,,5arf4f4k8om3ux3rryhincxzo,K. Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,Goalkeeper
2779316585,475,1,2,57,16,5yvw8xpbzap5lhlze04odtgk4,0,95.2,16.4,5532374521,140,85.3,5532374523,141,47.8,5532374525,212,23.7,5532374527,213,2.02,5532374519,56,Center,,,,,,,,,,ccrqgyzzq44gpjva980k10gt0,Mohammed Aimen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2779316817,493,1,2,57,18,9eqjks8amwm1ycytsoi7xld25,1,20,48.4,5532375603,56,Back,5532375611,213,4.51,5532375605,140,14.1,5532375609,212,30.4,5532375607,141,4.6,,,,,,,,,,9d8lhd93zoyekfcypi15zt7je,Ayush Dev Chhetri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2779316845,494,1,2,57,21,9eqjks8amwm1ycytsoi7xld25,0,13.4,4.6,5532375747,212,1.9,5532375749,213,0.33,5532376695,236,,5532375743,140,15.1,5532375741,56,Back,5532375745,141,5.5,5532376699,233,476,5532376705,286,,d5adi48nrkr3n0dqoitcdzu95,Kumam Udanta Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2779317001,476,74,2,57,21,5yvw8xpbzap5lhlze04odtgk4,1,80,96.9,5532376535,56,Left,5532376537,285,,5532376811,233,494,,,,,,,,,,,,,,,,arzfyvstbc17d1mioc40tidm2,Naocha Singh Huidrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2779316961,495,5,2,57,23,9eqjks8amwm1ycytsoi7xld25,1,16.7,-1.7,5532376335,347,,5532376331,56,Back,5532377009,233,477,,,,,,,,,,,,,,,,d5adi48nrkr3n0dqoitcdzu95,Kumam Udanta Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2779317085,477,5,2,57,27,5yvw8xpbzap5lhlze04odtgk4,0,84.4,101.4,5532377075,233,495,5532376947,347,,5532376945,56,Left,,,,,,,,,,,,,,,,arzfyvstbc17d1mioc40tidm2,Naocha Singh Huidrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2779317715,496,1,2,57,41,9eqjks8amwm1ycytsoi7xld25,0,13.3,0,5532380327,56,Back,5532380329,140,30.9,5532380325,107,,5532380337,1,,5532380335,213,0.71,5532380333,212,24.3,5532380331,141,22.5,,,,dl5tnk2o8rwiacgbsnldojsdm,Boris Singh Thangjam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2779320223,498,44,2,57,42,9eqjks8amwm1ycytsoi7xld25,1,33.6,7.4,5532408877,56,Back,5532408879,285,,,,,,,,,,,,,,,,,,,,827uzczm286djuyq5m1jykr85,Iker Guarrotxena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
