id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,assist,qualifier/8/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,teamName,Position
2783637533,589,1,2,89,34,7xo09xnh3y03lyai6azr77fo0,1,70.9,67,5555887563,141,20.3,5555887567,213,4.99,5555887559,56,Right,5555887569,1,,5555887565,212,33,5555887561,140,79.6,,,,,,,8dzeq723volchfye1smryolt6,Alaeddine Ajaraie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637535,590,1,2,89,37,7xo09xnh3y03lyai6azr77fo0,0,87.9,17.9,5555887583,155,,5555887591,212,6,5555887635,286,,5555887631,233,683,5555887589,141,23.7,5555887593,213,0.72,5555887585,56,Center,5555887629,236,,989i9o2rat334wwkdlqssejh0,Robin Yadav,,5555887581,2,5555887587,140,,,,,,,,,,,92.2,,,,,,,,,,,,,,Northeast United FC,
2783637541,683,12,2,89,37,1kqb5u8em0tj1k40607w2vtl4,1,11,80.8,5555887637,233,590,5555887625,185,,5555887627,56,Back,,,,,,,,,,,,,,,,bepdz3gbb2rxeuae2lt159g16,Vignesh Dakshinamurthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2783637549,591,1,2,89,41,7xo09xnh3y03lyai6azr77fo0,1,86.5,5.8,5555887667,140,87.8,5555887671,212,13.1,5555887665,56,Center,5555887673,213,1.47,5555887669,141,24.9,,,,,,,,,,989i9o2rat334wwkdlqssejh0,Robin Yadav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637551,592,61,2,89,43,7xo09xnh3y03lyai6azr77fo0,0,88.8,24.4,5555887685,56,Center,,,,,,,,,,,,,,,,,,,,,,dq03xoo08fyces9h371x0ce1g,Macarton Nickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637555,684,8,2,89,45,1kqb5u8em0tj1k40607w2vtl4,1,8.7,63,5555887697,56,Back,,,,,,,,,,,,,,,,,,,,,,e5pgescmpgtyk96b07mpicsq2,Jiteshwor Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2783637563,685,1,2,89,46,1kqb5u8em0tj1k40607w2vtl4,0,6.4,65.2,5555887755,1,,5555887751,212,37.4,5555887753,213,5.94,5555887747,140,39.9,5555887743,157,,5555887749,141,46.6,5555887745,56,Back,,,,9h25nvm0qom316k8qamw5zh1w,Laldinpuia PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2783637565,593,43,2,89,48,7xo09xnh3y03lyai6azr77fo0,1,0,0,5555887813,144,49,,,,,,,,,,,,,,,,,,,,,,dpg6dskbwuf9die5imz7z1y7e,Soraisham Dinesh Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637577,594,1,2,89,49,7xo09xnh3y03lyai6azr77fo0,1,59,74.5,5555887819,141,61.2,5555887815,56,Back,5555887823,213,3.5,5555887817,140,36.2,5555887821,212,25.6,,,,,,,,,,dpg6dskbwuf9die5imz7z1y7e,Soraisham Dinesh Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637583,595,1,2,89,53,7xo09xnh3y03lyai6azr77fo0,1,36.5,61.2,5555887883,213,5.1,5555887877,140,44.4,5555887881,212,22,5555887879,141,31.2,5555887875,56,Back,,,,,,,,,,awmnvgz0piarvn8o7b7zk57f9,Míchel Zabaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637591,596,1,2,89,56,7xo09xnh3y03lyai6azr77fo0,1,56.7,30.9,5555887913,141,44.9,5555887917,213,0.85,5555887909,56,Center,5555887915,212,12.6,5555887911,140,64.6,,,,,,,,,,6vak9npg73k6di2oagxg8ttgq,Mayakkannan Muthu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637607,597,1,2,90,0,7xo09xnh3y03lyai6azr77fo0,1,60.6,36.1,5555887987,56,Right,5555887991,141,7.4,5555887995,213,5.17,5555887989,140,69.7,5555887993,212,21.7,,,,,,,,,,dq03xoo08fyces9h371x0ce1g,Macarton Nickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637595,686,70,2,90,2,1kqb5u8em0tj1k40607w2vtl4,1,0,0,5555887937,277,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
