id,eventId,typeId,periodId,timeMin,timeSec,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/11/value,qualifier/15/value,assist
2772723761,122,12,1,13,41,1,14.3,46.9,5496334179,212,32.4,5496334177,141,9.4,5496334175,140,33.3,5496334195,15,,5496334173,56,Back,5496334181,213,5.38,,,,,,,5hi3s09qsxkuv8l5nw8d8qqj9,Ivan Novoselec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723779,165,1,1,13,47,0,88.6,89,5496374673,286,,5496334315,213,5.1,5496334307,140,89,5496334311,141,87.5,5496334313,212,1.1,5496374669,233,123,5496334301,2,,5496374667,236,,4sqnd13g7n9e4orv6hcp27fxm,Liston Colaco,5496334305,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723781,123,12,1,13,47,1,13.4,13.9,5496334325,56,Back,5496374675,233,165,5496374661,185,,,,,,,,,,,,,,,,,1i4qgopfzsr2xyfs93kjtcvai,Khaiminthang Lhungdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723797,124,12,1,13,49,1,8.6,35.6,5496334423,212,23.9,5496334421,141,16.9,5496334419,140,27.9,5496334425,213,5.72,5496334417,56,Back,,,,,,,,,,3hyx5x335jn5udim2a132nt2h,Vinit Rai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723789,166,1,1,13,51,1,72.6,77.8,5496334371,140,82.6,5496334373,141,69,5496334369,56,Center,5496334375,212,12.1,5496334377,213,5.77,,,,,,,,,,wx88q7cbam0swyvjt262qui,Sahal Abdul Samad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723795,167,1,1,13,53,1,82.5,68.8,5496334405,141,63.4,5496334401,56,Center,5496334403,140,79.1,5496334409,213,3.94,5496334407,212,5.1,,,,,,,,,,4sqnd13g7n9e4orv6hcp27fxm,Liston Colaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723799,168,1,1,13,53,0,78.9,63.3,5496334431,140,87.2,5496334433,141,62.6,5496334429,56,Center,5496334435,212,8.7,5496334437,213,6.23,,,,,,,,,,1rsxl4rnswqez6c6rwp7768r9,Greg Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723805,126,61,1,13,56,1,11.8,43.9,5496334459,56,Back,,,,,,,,,,,,,,,,,,,,,,5hi3s09qsxkuv8l5nw8d8qqj9,Ivan Novoselec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723823,127,12,1,13,57,1,9,53.1,5496334603,213,5.43,5496334601,212,36.3,5496334597,140,31.7,5496334595,56,Back,5496334599,141,12.8,,,,,,,,,,ciydd242v6efvzsqd2hxqvwus,Pramveer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723827,128,49,1,14,2,1,27.8,12.4,,,,,,,,,,,,,,,,,,,,,,,,,1csytueiqmph9zm2p58ww333e,Ricky Shabong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
